,REDSHIFT,TNG_ID,PROJECTION,SERSIC_IDX,HALFLIGHT_RAD,HALFLIGHT_BRIGHTNESS,AXIS_RATIO,LUM_HALFLIGHT_RAD,LUM_TWO_HALFLIGHT_RAD,MASS_STAR_HALFLIGHT_RAD,MASS_STAR_TWO_HALFLIGHT_RAD,LOS_SIGMA,MLR,SFR,SPS_LUM,SPS_LUM_HALFLIGHT_RAD,SPS_LUM_TWO_HALFLIGHT_RAD,MASS_GAS,MASS_STAR,TNG_MASS_STAR_HALFLIGHT_RAD,TNG_MASS_STAR_TWO_HALFLIGHT_RAD,HMRAD_STAR,MASS_DM,MASS_DM_HMR,MASS_ALL,MASS_ALL_HMR,SLOPE_STAR,SLOPE_GAS,SLOPE_DM,SLOPE_ALL,INTERCEPT_STAR,INTERCEPT_GAS,INTERCEPT_DM,INTERCEPT_ALL
0,0.07,488668.0,0,2.592860116348733,0.4541129859746206,6.21825261585014,0.5782740312157724,9.946805324577268,10.112538558603305,10.490138281740519,10.655871515766556,2.0169552427888204,3.4940809079469792,0.06895761936903,10.20139657228783,9.695950696275544,9.945519010441014,10.500844670014402,10.744729529451082,10.208041186440392,10.461190529497388,0.7703474005966604,12.00782104647962,10.475325403563925,12.043953746996495,10.765530373035455,3.1382612715763947,-1.6558235429543051,1.8842589112879289,2.1765354205486105,6.950128238243441,4.177063333008689,7.274395704744695,7.468682692176627
1,0.07,488668.0,1,2.0984436396062005,0.5907635604598508,5.938704898398766,0.8672862630311398,9.897396763405107,10.076682150963544,10.44072972056836,10.620015108126797,1.9688811027541973,3.4940809079469792,0.06895761936903,10.20139657228783,9.695950696275544,9.945519010441014,10.500844670014402,10.744729529451082,10.336139351302176,10.552667497770203,0.7703474005966604,12.00782104647962,10.475325403563925,12.043953746996495,10.765530373035455,3.1382612715763947,-1.6558235429543051,1.8842589112879289,2.1765354205486105,6.950128238243441,4.177063333008689,7.274395704744695,7.468682692176627
2,0.07,488668.0,2,2.2061041752996253,0.5900094721607525,5.952159742174871,0.6849147997868463,9.919496017982869,10.095528126413404,10.462828975146122,10.638861083576655,1.9829735207626755,3.4940809079469792,0.06895761936903,10.20139657228783,9.695950696275544,9.945519010441014,10.500844670014402,10.744729529451082,10.335709981521685,10.55215145724674,0.7703474005966604,12.00782104647962,10.475325403563925,12.043953746996495,10.765530373035455,3.1382612715763947,-1.6558235429543051,1.8842589112879289,2.1765354205486105,6.950128238243441,4.177063333008689,7.274395704744695,7.468682692176627
3,0.02,480446.0,2,4.272543407466136,0.562848708398335,5.9400396884047755,0.6670103819916455,9.989895492455208,10.126098236408504,10.46241965145747,10.598622395410766,2.061919509139555,2.968411866156168,0.3903159201145172,10.237446570411871,9.78778267508549,9.945238225218414,10.583726203552244,10.709970729414135,10.409130708476452,10.542413555718554,0.6434186395806567,12.163931015204302,10.392767808077348,12.191163700173593,10.722966090437662,3.1063241857896724,-0.6298935948660368,1.9591966242497865,2.2636389432737216,7.134526252191101,4.592808759898582,7.487492240107945,7.67318651993136
4,0.01,326322.0,0,4.211844181747593,1.0870559195409641,5.360581592340943,0.816994929776837,10.455847326833087,10.592843015615234,11.047578638137924,11.184574326920071,2.167518422665343,3.905991656847004,1.6236807107925415,10.627349507177762,10.444676302096784,10.587740171384384,11.828903354867581,11.219080818482599,11.0392528080972,11.185954274914417,1.2167037467521222,12.915690092039101,11.241802852789297,12.962072176446673,11.481320103625468,2.827151190339386,0.2740941565010132,1.627890879318046,1.8004377379655063,6.035832091577372,4.775974101500901,6.670877458349365,6.786189620497151
5,0.01,326322.0,1,2.2156281975844334,0.9718529364112175,5.646874139793193,0.5644996425741766,10.378773159871722,10.554526488542212,10.97050447117656,11.146257799847048,2.2218147256539083,3.905991656847004,1.6236807107925415,10.627349507177762,10.444676302096784,10.587740171384384,11.828903354867581,11.219080818482599,10.978197370440464,11.131767838738394,1.2167037467521222,12.915690092039101,11.241802852789297,12.962072176446673,11.481320103625468,2.827151190339386,0.2740941565010132,1.627890879318046,1.8004377379655063,6.035832091577372,4.775974101500901,6.670877458349365,6.786189620497151
6,0.01,326322.0,2,3.4531634267294287,1.01840347594655,5.5270047498747354,0.6478349355219833,10.443426081716439,10.591760370282127,11.035157393021276,11.183491681586965,2.209931522989574,3.905991656847004,1.6236807107925415,10.627349507177762,10.444676302096784,10.587740171384384,11.828903354867581,11.219080818482599,11.00352726576154,11.153489188430557,1.2167037467521222,12.915690092039101,11.241802852789297,12.962072176446673,11.481320103625468,2.827151190339386,0.2740941565010132,1.627890879318046,1.8004377379655063,6.035832091577372,4.775974101500901,6.670877458349365,6.786189620497151
7,0.01,283471.0,0,2.3273541979725145,1.0502090025297033,5.667865684813685,0.6884021859372429,10.5664968828129,10.73908201729182,11.212959025115069,11.385544159593989,2.3373569354472363,4.43059591048513,0.2897319495677948,10.797429031944803,10.55786903849199,10.732845030938702,12.123184986487862,11.443891174246973,11.20890944678838,11.372113455570029,1.2421119252700143,13.186410088334512,11.467939722889865,13.232983937646747,11.7004072822581,3.0018430166447234,0.7615177299468268,1.6206195527542226,1.8152957528594984,6.175019313272953,4.795824964767542,6.831433360557248,6.942207068602448
8,0.01,283471.0,1,2.8704781635695698,1.0559854424745765,5.644176943034186,0.7912326492972919,10.597423267480814,10.756845970587621,11.243885409782983,11.40330811288979,2.299725197535764,4.43059591048513,0.2897319495677948,10.797429031944803,10.55786903849199,10.732845030938702,12.123184986487862,11.443891174246973,11.212394326131966,11.375180143161229,1.2421119252700143,13.186410088334512,11.467939722889865,13.232983937646747,11.7004072822581,3.0018430166447234,0.7615177299468268,1.6206195527542226,1.8152957528594984,6.175019313272953,4.795824964767542,6.831433360557248,6.942207068602448
9,0.01,283471.0,2,2.617088091505721,1.0212016460287492,5.720224338661184,0.7731762225320713,10.58486493265763,10.750015317724412,11.2313270749598,11.396477460026581,2.351580207092157,4.43059591048513,0.2897319495677948,10.797429031944803,10.55786903849199,10.732845030938702,12.123184986487862,11.443891174246973,11.192012724075342,11.356299701232256,1.2421119252700143,13.186410088334512,11.467939722889865,13.232983937646747,11.7004072822581,3.0018430166447234,0.7615177299468268,1.6206195527542226,1.8152957528594984,6.175019313272953,4.795824964767542,6.831433360557248,6.942207068602448
