0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
427835.0,2.5195063901914216,6.84554657775077,12656494582.35055,0.7161008066897141,4.3922,4.97291,185.111,194.501,0.0,-1.3981448347897507,-2.731171278920225,-1.6877706653562068,-1.866204263386281,0.05,6.496273129681284,7.113868530309327,7.222555549508506,5.0349,16372461071.471678,3.9604724214298277
427835.0,2.674924350969063,5.275063058024731,12692368417.134148,0.5885204972090318,4.3922,4.97291,185.111,194.501,0.0,-1.3981448347897507,-2.731171278920225,-1.6877706653562068,-1.866204263386281,0.05,6.496273129681284,7.113868530309327,7.222555549508506,5.0349,16372461071.471678,3.9604724214298277
427835.0,2.93914169696848,5.093840331828494,12896212564.77407,0.6928705064484507,4.3922,4.97291,185.111,194.501,0.0,-1.3981448347897507,-2.731171278920225,-1.6877706653562068,-1.866204263386281,0.05,6.496273129681284,7.113868530309327,7.222555549508506,5.0349,16372461071.471678,3.9604724214298277
375423.0,2.466711962655109,9.533143530571802,34891611658.01644,0.7492988247842551,10.8147,13.9255,324.604,349.375,0.0898137,-0.4287265684780776,-2.966057085181299,-1.9110134889803367,-2.05812580213436,0.03,6.032136056687415,6.697635425118199,6.801034561255474,9.8694,46419320114.44579,3.439587780392509
375423.0,3.643516927199716,10.889452022234858,40851518426.82012,0.9112938485833298,10.8147,13.9255,324.604,349.375,0.0898137,-0.4287265684780776,-2.966057085181299,-1.9110134889803367,-2.05812580213436,0.03,6.032136056687415,6.697635425118199,6.801034561255474,9.8694,46419320114.44579,3.439587780392509
375423.0,2.88809234890903,11.31448854233648,35356021825.25478,0.7535701528593725,10.8147,13.9255,324.604,349.375,0.0898137,-0.4287265684780776,-2.966057085181299,-1.9110134889803367,-2.05812580213436,0.03,6.032136056687415,6.697635425118199,6.801034561255474,9.8694,46419320114.44579,3.439587780392509
384773.0,3.652647333924468,4.045850758151478,21901772963.227844,0.8472896649923073,5.73264,2.90284,139.864,148.513,0.333076,-0.2583984941682621,-3.0266144777861914,-1.7111753629707804,-2.101958450558594,0.08,7.088868003222627,7.29838592339441,7.541073673407664,3.8791,22630758227.637,3.7395385514653494
384773.0,2.4924248666563518,4.390650182526081,19402480081.11188,0.760974800483234,5.73264,2.90284,139.864,148.513,0.333076,-0.2583984941682621,-3.0266144777861914,-1.7111753629707804,-2.101958450558594,0.08,7.088868003222627,7.29838592339441,7.541073673407664,3.8791,22630758227.637,3.7395385514653494
384773.0,2.955217589714364,2.893403508614186,19486176091.98365,0.8708085510140983,5.73264,2.90284,139.864,148.513,0.333076,-0.2583984941682621,-3.0266144777861914,-1.7111753629707804,-2.101958450558594,0.08,7.088868003222627,7.29838592339441,7.541073673407664,3.8791,22630758227.637,3.7395385514653494
271605.0,3.3774077538736296,9.168507891511016,41689588942.21312,0.5878923464214642,16.2298,114.252,1011.09,1141.63,0.064823,-0.6163738064873908,-2.909345116547447,-1.6436924811162652,-1.8356954925849047,0.01,6.286366229641202,6.929055328255586,7.037416262573135,8.6432,58511999761.10304,4.095561931278506
