TNG_ID,REDSHIFT,SERSIC_IDX,HALFMASSRAD,SERSIC_LUM,AXIS_RATIO,MASS_STAR,MASS_GAS,MASS_DM,MASS_ALL,SFR,SLOPE_GAS,SLOPE_STAR,SLOPE_DM,SLOPE_ALL,INTERCEPT_GAS,INTERCEPT_STAR,INTERCEPT_DM,INTERCEPT_ALL,HMR_STAR,SPS_LUM,MLR
402992,0.1,2.46526556,4.689863768,16879428516,0.6422284972,6.04753,5.03361,227.268,238.372,0,-1.77301256,-2.890566509,-1.569927072,-1.829716707,4.395562148,6.647309796,7.161310828,7.301140102,5.5325,21096159224,4.231920869
369142,0.1,3.925440578,8.767630051,17977701175,0.6059938925,5.95555,12.8479,330.764,349.607,0.0147918,-1.543866621,-2.846340327,-1.681858057,-1.814305599,4.854963155,6.080346677,6.913117689,6.988915964,7.721,24473946178,3.592344817
369142,0.1,4.162985931,8.94199122,17867748448,0.6014072059,5.95555,12.8479,330.764,349.607,0.0147918,-1.543866621,-2.846340327,-1.681858057,-1.814305599,4.854963155,6.080346677,6.913117689,6.988915964,7.721,24473946178,3.592344817
369142,0.1,4.017883349,7.780062152,17832532793,0.6351825319,5.95555,12.8479,330.764,349.607,0.0147918,-1.543866621,-2.846340327,-1.681858057,-1.814305599,4.854963155,6.080346677,6.913117689,6.988915964,7.721,24473946178,3.592344817
245935,0.1,2.53154351,13.28641318,88659228786,0.5924163557,30.0231,121.868,1191.24,1343.21,0.177308,-1.389985133,-2.985842718,-1.812028681,-1.970994251,4.595984495,6.081196119,6.79143509,6.885484849,14.3777,116828479363,3.793961343
245935,0.1,2.734947014,14.6311779,88022614987,0.6164984204,30.0231,121.868,1191.24,1343.21,0.177308,-1.389985133,-2.985842718,-1.812028681,-1.970994251,4.595984495,6.081196119,6.79143509,6.885484849,14.3777,116828479363,3.793961343
245935,0.1,2.726973964,11.22455748,88132518660,0.9225058855,30.0231,121.868,1191.24,1343.21,0.177308,-1.389985133,-2.985842718,-1.812028681,-1.970994251,4.595984495,6.081196119,6.79143509,6.885484849,14.3777,116828479363,3.793961343
461064,0.1,4.70264572,3.115984196,16187308689,0.849765011,3.86848,5.22606,84.7449,93.852,0.162483,0.06138713932,-2.983670163,-1.873060569,-2.13260669,5.282913811,7.067991872,7.390868981,7.584870984,3.557,17310405313,3.299040157
461064,0.1,2.173558138,3.570547426,15136816089,0.6346014121,3.86848,5.22606,84.7449,93.852,0.162483,0.06138713932,-2.983670163,-1.873060569,-2.13260669,5.282913811,7.067991872,7.390868981,7.584870984,3.557,17310405313,3.299040157
461064,0.1,2.511286558,3.267735785,16116226390,0.925877021,3.86848,5.22606,84.7449,93.852,0.162483,0.06138713932,-2.983670163,-1.873060569,-2.13260669,5.282913811,7.067991872,7.390868981,7.584870984,3.557,17310405313,3.299040157
282988,0.1,4.355441205,10.12719403,23812132999,0.8779275848,9.19132,36.9473,527.969,574.152,0.138294,-0.8903795766,-2.937914382,-1.683191885,-1.891078272,4.856961325,6.358645927,6.966558538,7.085263105,7.2373,34456577309,3.938663201
282988,0.1,4.878290351,9.034098983,23383632339,0.6315566459,9.19132,36.9473,527.969,574.152,0.138294,-0.8903795766,-2.937914382,-1.683191885,-1.891078272,4.856961325,6.358645927,6.966558538,7.085263105,7.2373,34456577309,3.938663201
282988,0.1,6.256056409,8.929763088,28174277541,0.6021478458,9.19132,36.9473,527.969,574.152,0.138294,-0.8903795766,-2.937914382,-1.683191885,-1.891078272,4.856961325,6.358645927,6.966558538,7.085263105,7.2373,34456577309,3.938663201
413012,0.1,4.601327073,2.685771489,9414883226,0.8414545081,3.27924,5.67745,144.555,153.526,0,-1.594942883,-3.491861837,-1.938680407,-2.290448205,4.915858489,7.28227225,7.670210685,7.853540127,2.78,11844658532,4.087008845
413012,0.1,4.332001426,3.010318365,10358244487,0.7495664499,3.27924,5.67745,144.555,153.526,0,-1.594942883,-3.491861837,-1.938680407,-2.290448205,4.915858489,7.28227225,7.670210685,7.853540127,2.78,11844658532,4.087008845
413012,0.1,3.140284064,2.653645133,9225735371,0.6322340333,3.27924,5.67745,144.555,153.526,0,-1.594942883,-3.491861837,-1.938680407,-2.290448205,4.915858489,7.28227225,7.670210685,7.853540127,2.78,11844658532,4.087008845
419888,0.1,2.54607663,5.11013289,15972591452,0.7464377491,4.72818,5.31702,171.575,181.641,0.00150307,-0.6739006629,-2.996721114,-1.811715289,-2.01012421,4.679852962,6.533856357,7.106707677,7.22813149,5.6934,18622732820,3.748336266
419888,0.1,2.717340434,6.288425383,16490439510,0.7075336698,4.72818,5.31702,171.575,181.641,0.00150307,-0.6739006629,-2.996721114,-1.811715289,-2.01012421,4.679852962,6.533856357,7.106707677,7.22813149,5.6934,18622732820,3.748336266
