REDSHIFT,TNG_ID,PROJECTION,SERSIC_IDX,HALFLIGHT_RAD,HALFLIGHT_BRIGHTNESS,AXIS_RATIO,SERSIC_LUM,LUM_HALFLIGHT_RAD,LUM_TWO_HALFLIGHT_RAD,SERSIC_MASS_STAR,MASS_STAR_HALFLIGHT_RAD,MASS_STAR_TWO_HALFLIGHT_RAD,SIGMA_EFF,SIGMA_CORR,SIGMA_DYN,MLR,SFR,SPS_LUM,SPS_LUM_HALFLIGHT_RAD,SPS_LUM_TWO_HALFLIGHT_RAD,MASS_GAS,TNG_MASS_STAR_30KPC,TNG_MASS_STAR_HALFLIGHT_RAD,TNG_MASS_STAR_TWO_HALFLIGHT_RAD,HMRAD_STAR,MASS_DM,MASS_DM_HMR,MASS_ALL,MASS_ALL_HMR,SLOPE_STAR,SLOPE_GAS,SLOPE_DM,SLOPE_ALL,SLOPE_STAR_2,SLOPE_GAS_2,SLOPE_DM_2,SLOPE_ALL_2,AV_SLOPE_STAR,AV_SLOPE_GAS,AV_SLOPE_DM,AV_SLOPE_ALL,INTERCEPT_STAR,INTERCEPT_GAS,INTERCEPT_DM,INTERCEPT_ALL,INTERCEPT_STAR_2,INTERCEPT_GAS_2,INTERCEPT_DM_2,INTERCEPT_ALL_2,MASS_GAS_HMR,MASS_STAR_HMR,TNG_MASS_STAR
0.07,488668.0,0,2.592860116348733,0.4541129859746206,6.21825261585014,0.5782740312157724,10.247834490933863,9.946805324577268,10.112538558603305,10.791167448097116,10.49013828174052,10.655871515766556,2.031647119233205,2.064680948868286,2.2323876264195195,3.4940809079469792,0.06895761936903,10.20139657228783,9.695950696275544,9.945519010441014,10.500844670014402,10.744729529451082,10.208041186440392,10.461190529497388,0.7703474005966604,12.00782104647962,10.475325403563923,12.043953746996497,10.765530373035457,3.1382612715763947,-1.6558235429543051,1.8842589112879289,2.1765354205486105,2.8105204428191044,-0.973726537769094,1.879328288698369,2.2204716213777256,2.744299226239656,1.1971122721647198,1.8660340291842457,2.174298354121468,9.275465679673385,2.9501583217191936,8.670563014155787,9.081416262781424,9.06510434410139,3.5665930855084635,8.665019192495656,9.107593030512865,0.0,10.450904414442313,10.753198646967927
0.07,488668.0,1,2.0984436396062005,0.5907635604598508,5.938704898398766,0.8672862630311398,10.198424733556752,9.897396763405109,10.076682150963544,10.741757690720004,10.44072972056836,10.620015108126797,1.983573000477588,2.000007219448145,2.220160969641305,3.4940809079469792,0.06895761936903,10.20139657228783,9.695950696275544,9.945519010441014,10.500844670014402,10.744729529451082,10.336139351302176,10.552667497770203,0.7703474005966604,12.00782104647962,10.475325403563923,12.043953746996497,10.765530373035457,3.1382612715763947,-1.6558235429543051,1.8842589112879289,2.1765354205486105,2.8105204428191044,-0.973726537769094,1.879328288698369,2.2204716213777256,2.744299226239656,1.1971122721647198,1.8660340291842457,2.174298354121468,9.275465679673385,2.9501583217191936,8.670563014155787,9.081416262781424,9.06510434410139,3.5665930855084635,8.665019192495656,9.107593030512865,0.0,10.450904414442313,10.753198646967927
0.07,488668.0,2,2.2061041752996253,0.5900094721607525,5.952159742174871,0.6849147997868463,10.220524375471944,9.919496017982867,10.095528126413404,10.763857332635196,10.462828975146122,10.638861083576655,1.997665374847294,2.0154885089242343,2.220205211689932,3.4940809079469792,0.06895761936903,10.20139657228783,9.695950696275544,9.945519010441014,10.500844670014402,10.744729529451082,10.335709981521685,10.55215145724674,0.7703474005966604,12.00782104647962,10.475325403563923,12.043953746996497,10.765530373035457,3.1382612715763947,-1.6558235429543051,1.8842589112879289,2.1765354205486105,2.8105204428191044,-0.973726537769094,1.879328288698369,2.2204716213777256,2.744299226239656,1.1971122721647198,1.8660340291842457,2.174298354121468,9.275465679673385,2.9501583217191936,8.670563014155787,9.081416262781424,9.06510434410139,3.5665930855084635,8.665019192495656,9.107593030512865,0.0,10.450904414442313,10.753198646967927
0.02,480446.0,2,4.272543407466136,0.562848708398335,5.940039688404776,0.6670103819916455,10.290925382342952,9.989895492455208,10.126098236408504,10.763449541345215,10.46241965145747,10.598622395410766,2.066219556787116,2.090345972407288,2.2587296882817363,2.968411866156168,0.3903159201145172,10.237446570411873,9.78778267508549,9.945238225218414,10.583726203552244,10.709970729414136,10.409130708476452,10.542413555718554,0.6434186395806567,12.163931015204302,10.392767808077348,12.191163700173592,10.722966090437662,3.1063241857896724,-0.6298935948660368,1.9591966242497865,2.2636389432737216,3.178435680269913,1.1927673907254106,1.92578670304346,2.346649105577819,3.151338618058971,1.09113332781062,2.00578872582536,2.3858726996739628,9.10647821236239,4.192940673116884,8.731226439269843,9.110186325595214,9.145880509726451,5.646326755087689,8.713645659637603,9.153525103623128,6.68375086971219,10.445779892316816,10.748522689292637
0.01,326322.0,0,4.211844181747593,1.087055919540964,5.360581592340943,0.816994929776837,10.75687721040265,10.455847326833087,10.592843015615234,11.348608521707485,11.047578638137924,11.184574326920073,2.169679106078509,2.192913582850684,2.192502824111999,3.905991656847004,1.6236807107925415,10.627349507177762,10.444676302096784,10.587740171384384,11.82890335486758,11.2190808184826,11.0392528080972,11.185954274914415,1.2167037467521222,12.9156900920391,11.241802852789297,12.962072176446672,11.481320103625468,2.827151190339386,0.2740941565010132,1.627890879318046,1.8004377379655063,2.7268928236353536,0.0886812299319394,1.5035615030945648,1.7552875412901376,2.759687690661889,0.2075434035604509,1.487602508287879,1.7536123911432522,9.463413729565923,5.109351973662925,8.64448749316239,8.9690034896954,9.353043004469177,4.903566955296427,8.507804759787161,8.91913192991767,9.09167463601284,11.102646387883084,11.404572877252797
0.01,326322.0,1,2.2156281975844334,0.9718529364112176,5.646874139793193,0.5644996425741766,10.67980154697645,10.378773159871722,10.554526488542212,11.271532858281285,10.97050447117656,11.146257799847048,2.22397537305046,2.251164635845288,2.203396693064249,3.905991656847004,1.6236807107925415,10.627349507177762,10.444676302096784,10.587740171384384,11.82890335486758,11.2190808184826,10.978197370440464,11.131767838738394,1.2167037467521222,12.9156900920391,11.241802852789297,12.962072176446672,11.481320103625468,2.827151190339386,0.2740941565010132,1.627890879318046,1.8004377379655063,2.7268928236353536,0.0886812299319394,1.5035615030945648,1.7552875412901376,2.759687690661889,0.2075434035604509,1.487602508287879,1.7536123911432522,9.463413729565923,5.109351973662925,8.64448749316239,8.9690034896954,9.353043004469177,4.903566955296427,8.507804759787161,8.91913192991767,9.09167463601284,11.102646387883084,11.404572877252797
0.01,326322.0,2,3.4531634267294287,1.01840347594655,5.527004749874736,0.6478349355219833,10.74445582508037,10.44342608171644,10.591760370282127,11.336187136385208,11.035157393021276,11.183491681586965,2.212092182354932,2.236947033523664,2.19279087136392,3.905991656847004,1.6236807107925415,10.627349507177762,10.444676302096784,10.587740171384384,11.82890335486758,11.2190808184826,11.00352726576154,11.153489188430555,1.2167037467521222,12.9156900920391,11.241802852789297,12.962072176446672,11.481320103625468,2.827151190339386,0.2740941565010132,1.627890879318046,1.8004377379655063,2.7268928236353536,0.0886812299319394,1.5035615030945648,1.7552875412901376,2.759687690661889,0.2075434035604509,1.487602508287879,1.7536123911432522,9.463413729565923,5.109351973662925,8.64448749316239,8.9690034896954,9.353043004469177,4.903566955296427,8.507804759787161,8.91913192991767,9.09167463601284,11.102646387883084,11.404572877252797
0.01,283471.0,0,2.3273541979725145,1.0502090025297033,5.667865684813685,0.6884021859372429,10.867525571998614,10.5664968828129,10.73908201729182,11.513987714300784,11.212959025115069,11.385544159593987,2.3395175841886746,2.3428757814841488,2.315279015526175,4.43059591048513,0.2897319495677948,10.797429031944803,10.55786903849199,10.732845030938702,12.123184986487862,11.443891174246971,11.20890944678838,11.372113455570029,1.2421119252700143,13.186410088334512,11.467939722889865,13.232983937646749,11.7004072822581,3.0018430166447234,0.7615177299468268,1.6206195527542226,1.8152957528594984,2.627845560713903,0.4595206208636643,1.4561960806192853,1.7029415459929929,2.7266350109268847,0.5086673383544545,1.4909922204224724,1.7463966929341268,9.890683547670864,5.738424415685837,8.837337243226724,9.189113207810436,9.472974220394113,5.392180093976102,8.653686880806916,9.06388512988913,9.22717280432766,11.310976055715388,11.613728996378319
0.01,283471.0,1,2.8704781635695698,1.0559854424745765,5.644176943034186,0.7912326492972919,10.898452720994957,10.597423267480814,10.75684597058762,11.544914863297128,11.243885409782983,11.40330811288979,2.3018859061317767,2.3088374510755663,2.3088989354683536,4.43059591048513,0.2897319495677948,10.797429031944803,10.55786903849199,10.732845030938702,12.123184986487862,11.443891174246971,11.212394326131966,11.375180143161227,1.2421119252700143,13.186410088334512,11.467939722889865,13.232983937646749,11.7004072822581,3.0018430166447234,0.7615177299468268,1.6206195527542226,1.8152957528594984,2.627845560713903,0.4595206208636643,1.4561960806192853,1.7029415459929929,2.7266350109268847,0.5086673383544545,1.4909922204224724,1.7463966929341268,9.890683547670864,5.738424415685837,8.837337243226724,9.189113207810436,9.472974220394113,5.392180093976102,8.653686880806916,9.06388512988913,9.22717280432766,11.310976055715388,11.613728996378319
0.01,283471.0,2,2.617088091505721,1.0212016460287492,5.720224338661184,0.7731762225320713,10.885894130720969,10.58486493265763,10.750015317724412,11.532356273023137,11.2313270749598,11.39647746002658,2.3537409012847905,2.358345166289802,2.30875417768988,4.43059591048513,0.2897319495677948,10.797429031944803,10.55786903849199,10.732845030938702,12.123184986487862,11.443891174246971,11.192012724075342,11.356299701232256,1.2421119252700143,13.186410088334512,11.467939722889865,13.232983937646749,11.7004072822581,3.0018430166447234,0.7615177299468268,1.6206195527542226,1.8152957528594984,2.627845560713903,0.4595206208636643,1.4561960806192853,1.7029415459929929,2.7266350109268847,0.5086673383544545,1.4909922204224724,1.7463966929341268,9.890683547670864,5.738424415685837,8.837337243226724,9.189113207810436,9.472974220394113,5.392180093976102,8.653686880806916,9.06388512988913,9.22717280432766,11.310976055715388,11.613728996378319
