PROJECTION,TNG_ID,REDSHIFT,SERSIC_IDX,HALFLIGHT_RAD,AXIS_RATIO,LOS_SIGMA,SPS_MASS_STAR,MASS_GAS,MASS_DM,MASS_ALL,MASS_ALL_HMR,HMRAD_STAR,SPS_LUM,MLR,SFR,SLOPE_GAS,SLOPE_STAR,SLOPE_DM,SLOPE_ALL,INTERCEPT_GAS,INTERCEPT_STAR,INTERCEPT_DM,INTERCEPT_ALL,HALFLIGHT_BRIGHTNESS,SERSIC_MASS_STAR,MASS_DM_HMR,MASS_SMBH,TNG_MASS_STAR_HALFLIGHT_RAD,TNG_MASS_STAR_TWO_HALFLIGHT_RAD,LUM_HALFLIGHT_RAD,LUM_TWO_HALFLIGHT_RAD,MASS_STAR_HALFLIGHT_RAD,MASS_STAR_TWO_HALFLIGHT_RAD,SPS_LUM_ONE_HALFLIGHT_RAD,SPS_LUM_TWO_HALFLIGHT_RAD
0,432650,0.05,5.859387091,0.5307071313,0.7970580434,2.136684191,10.75745957,0.7948485135,12.39693194,12.41809802,10.80235977,0.7280611969,10.10831707,4.458024962,0,1.657435825,3.025693164,1.726695483,2.015818037,4.704921071,6.983729085,7.411189537,7.573591591,5.840550548,10.84295249,2.180542,0.016618658,10.39141815,10.55223862,9.892780025,10.01231946,10.54192252,10.66146196,9.75004051,9.906537929
1,432650,0.05,4.278572534,0.5362779642,0.5951410371,2.112896483,10.75745957,0.7948485135,12.39693194,12.41809802,10.80235977,0.7280611969,10.10831707,4.458024962,0,1.657435825,3.025693164,1.726695483,2.015818037,4.704921071,6.983729085,7.411189537,7.573591591,5.854841583,10.80202446,2.180542,0.016618658,10.39492673,10.55486501,9.851852075,9.987976849,10.50099457,10.63711935,9.75004051,9.906537929
2,432650,0.05,4.653445246,0.6032424037,0.8305192344,2.024817082,10.75745957,0.7948485135,12.39693194,12.41809802,10.80235977,0.7280611969,10.10831707,4.458024962,0,1.657435825,3.025693164,1.726695483,2.015818037,4.704921071,6.983729085,7.411189537,7.573591591,5.720099252,10.81887638,2.180542,0.016618658,10.43558885,10.58516195,9.868703964,10.00024223,10.51784646,10.64938473,9.75004051,9.906537929
2,358403,0.01,5.272652747,0.8482620381,0.9159150199,2.201813705,11.14588758,1.670612473,12.82722332,12.86696485,11.28093829,0.9828210877,10.51553464,4.269263319,0.09078422189,-0.1430731734,3.095067189,1.741025803,1.984659516,4.657609203,6.576388456,7.091412349,7.233725308,5.667375278,11.2637626,6.9673195,0.04168927,10.86733211,11.02124333,10.33237971,10.45730622,10.96273265,11.08765916,10.22834646,10.39031848
0,291799,0.1,8.438129645,0.7231437497,0.7398493754,2.281952895,11.26837434,1.982026413,13.07904782,13.11997706,11.30113277,0.8290871558,10.55159839,5.209259059,0.1129560843,1.071715275,3.085269751,1.597220036,1.949660817,4.833626033,7.23664392,7.653794876,7.829533717,5.888812616,11.42133656,5.8555617,0.07230922,11.02120511,11.14262566,10.40353061,10.50583596,11.12030657,11.22261192,10.25877168,10.40138359
1,291799,0.1,9.561144175,0.7579594194,0.802326435,2.229951275,11.26837434,1.982026413,13.07904782,13.11997706,11.30113277,0.8290871558,10.55159839,5.209259059,0.1129560843,1.071715275,3.085269751,1.597220036,1.949660817,4.833626033,7.23664392,7.653794876,7.829533717,5.834920363,11.46378585,5.8555617,0.07230922,11.0374724,11.15426175,10.4459799,10.54286825,11.16275586,11.2596442,10.25877168,10.40138359
2,291799,0.1,9.352915216,0.6575688928,0.8184016921,2.357614782,11.26837434,1.982026413,13.07904782,13.11997706,11.30113277,0.8290871558,10.55159839,5.209259059,0.1129560843,1.071715275,3.085269751,1.597220036,1.949660817,4.833626033,7.23664392,7.653794876,7.829533717,5.99583897,11.41921248,5.8555617,0.07230922,10.9888714,11.11984726,10.40140654,10.49923182,11.11818249,11.21600777,10.25877168,10.40138359
0,422861,0.03,4.752898375,0.501558335,0.8471762808,2.113748633,10.74792885,1.056081022,12.44863208,12.47484313,10.77980126,0.7461358162,10.12906488,4.157803531,0,1.642484645,3.097485925,1.722011075,2.041293225,4.593864848,6.913255241,7.308517716,7.483437284,5.965362275,10.83494802,2.0051076,0.015878947,10.32972735,10.52247132,9.915054131,10.04545546,10.53391809,10.66431942,9.729494179,9.922759508
1,422861,0.03,3.797728468,0.5378224072,0.8470278083,2.084025795,10.74792885,1.056081022,12.44863208,12.47484313,10.77980126,0.7461358162,10.12906488,4.157803531,0,1.642484645,3.097485925,1.722011075,2.041293225,4.593864848,6.913255241,7.308517716,7.483437284,5.89435474,10.78936091,2.0051076,0.015878947,10.35651083,10.54209491,9.869467124,10.01229476,10.48833109,10.63115872,9.729494179,9.922759508
2,422861,0.03,3.266371208,0.6072430814,0.9119019051,2.021123878,10.74792885,1.056081022,12.44863208,12.47484313,10.77980126,0.7461358162,10.12906488,4.157803531,0,1.642484645,3.097485925,1.722011075,2.041293225,4.593864848,6.913255241,7.308517716,7.483437284,5.767855568,10.77027864,2.0051076,0.015878947,10.40379768,10.5777377,9.850384993,10.00200284,10.46924896,10.62086681,9.729494179,9.922759508
0,363217,0.03,9.246666521,0.7603461207,0.4993522107,2.141874065,10.98971219,1.435157033,12.807836,12.83377785,11.09509666,0.8369172665,10.31285766,4.751760335,0,1.271867042,3.060384894,1.706272773,1.981473139,4.407669418,6.834243224,7.347783396,7.4903068,5.577640183,11.16420303,4.2427797,0.040937737,10.7593199,10.87600917,10.18631851,10.2846329,10.86317304,10.96148743,10.03411079,10.17463569
1,363217,0.03,9.007949238,0.7571950688,0.4513910159,2.144512305,10.98971219,1.435157033,12.807836,12.83377785,11.09509666,0.8369172665,10.31285766,4.751760335,0,1.271867042,3.060384894,1.706272773,1.981473139,4.407669418,6.834243224,7.347783396,7.4903068,5.589165457,11.16383337,4.2427797,0.040937737,10.75798147,10.87486538,10.18594886,10.28539065,10.86280338,10.96224518,10.03411079,10.17463569
2,363217,0.03,6.948675488,0.6962669849,0.7085559678,2.26501453,10.98971219,1.435157033,12.807836,12.83377785,11.09509666,0.8369172665,10.31285766,4.751760335,0,1.271867042,3.060384894,1.706272773,1.981473139,4.407669418,6.834243224,7.347783396,7.4903068,5.698454532,11.09590143,4.2427797,0.040937737,10.72949025,10.85397612,10.11801693,10.22923282,10.79487145,10.90608735,10.03411079,10.17463569
0,245893,0.08,3.307338981,1.090851379,0.578923703,2.317931575,11.38488932,2.290723928,13.27925935,13.3290436,11.71743659,1.25285097,10.70256947,4.811936035,0.07160844654,0.8094595639,3.075831084,1.692712478,1.855749472,4.431299876,6.154253686,6.920175918,7.007545595,5.469767916,11.50545447,23.13053,0.10111124,11.17554374,11.33318798,10.52210493,10.67298279,11.20442478,11.35530263,10.49768091,10.66399525
