PROJECTION,TNG_ID,REDSHIFT,SERSIC_IDX,HALFLIGHT_RAD,AXIS_RATIO,LOS_SIGMA,SPS_MASS_STAR,MASS_GAS,MASS_DM,MASS_ALL,MASS_ALL_HMR,HMRAD_STAR,SPS_LUM,MLR,SFR,SLOPE_GAS,SLOPE_STAR,SLOPE_DM,SLOPE_ALL,INTERCEPT_GAS,INTERCEPT_STAR,INTERCEPT_DM,INTERCEPT_ALL,HALFLIGHT_BRIGHTNESS,SERSIC_MASS_STAR,MASS_DM_HMR,MASS_SMBH,TNG_MASS_STAR_HALFLIGHT_RAD,TNG_MASS_STAR_TWO_HALFLIGHT_RAD,LUM_HALFLIGHT_RAD,LUM_TWO_HALFLIGHT_RAD,MASS_STAR_HALFLIGHT_RAD,MASS_STAR_TWO_HALFLIGHT_RAD,SPS_LUM_ONE_HALFLIGHT_RAD,SPS_LUM_TWO_HALFLIGHT_RAD
1,401410,0.1,2.485831638,0.448826583,0.84727968,2.077837295,10.75525821,0.688554706,12.28365461,12.30756164,10.7722003,0.659327146,10.12959447,4.223414785,0,0.709967938,3.223487394,1.913615481,2.237141298,4.911080955,7.295983044,7.624707293,7.818381835,6.135634012,10.77166032,1.9707286,0.0150628695,10.34326206,10.55607283,9.844967582,10.01335676,10.47063132,10.6390205,9.695260601,9.911011501
2,401410,0.1,3.487658117,0.4966651176,0.7638075635,2.084828542,10.75525821,0.688554706,12.28365461,12.30756164,10.7722003,0.659327146,10.12959447,4.223414785,0,0.709967938,3.223487394,1.913615481,2.237141298,4.911080955,7.295983044,7.624707293,7.818381835,6.015154534,10.81686376,1.9707286,0.0150628695,10.38355638,10.5826958,9.890170275,10.03792259,10.51583401,10.66358633,9.695260601,9.911011501
0,441325,0.01,5.533915756,0.6754507444,0.7390241816,1.93608218,10.68764263,1.273241406,12.29653626,12.34656954,10.71264564,0.6733997503,10.2049991,3.038390105,0.486710012,-0.9140330696,3.12720509,1.902706446,2.200867667,4.771363848,7.054123622,7.400324878,7.590987694,5.691049241,10.80433434,1.6582837,0.010224594,10.43382291,10.56396399,10.02066085,10.1430957,10.50330438,10.62573923,9.844400291,10.00833306
1,441325,0.01,5.203665824,0.5094952605,0.6042124319,2.121414521,10.68764263,1.273241406,12.29653626,12.34656954,10.71264564,0.6733997503,10.2049991,3.038390105,0.486710012,-0.9140330696,3.12720509,1.902706446,2.200867667,4.771363848,7.054123622,7.400324878,7.590987694,5.998641777,10.76700262,1.6582837,0.010224594,10.32981355,10.49665094,9.983329138,10.10894077,10.46597267,10.5915843,9.844400291,10.00833306
2,441325,0.01,4.05084416,0.5129182182,0.593346759,2.086965869,10.68764263,1.273241406,12.29653626,12.34656954,10.71264564,0.6733997503,10.2049991,3.038390105,0.486710012,-0.9140330696,3.12720509,1.902706446,2.200867667,4.771363848,7.054123622,7.400324878,7.590987694,6.055767701,10.77825515,1.6582837,0.010224594,10.33240226,10.49828407,9.994581748,10.13375382,10.47722528,10.61639735,9.844400291,10.00833306
0,347692,0.02,2.244746843,0.8920261403,0.7776177892,2.102289232,10.78349785,1.648684073,12.80174619,12.83620386,11.12113214,1.05734159,10.15292467,4.271428877,0.07412575185,0.01976200412,2.962293702,1.580829048,1.707049459,4.54423716,6.02451585,6.89825672,6.970553172,5.294687297,10.8011905,6.300467,0.021488043,10.4960841,10.66526009,9.869588847,10.04449853,10.50016203,10.67507171,9.844770288,10.03074586
1,347692,0.02,2.932583228,0.8162442294,0.6577211053,2.124285157,10.78349785,1.648684073,12.80174619,12.83620386,11.12113214,1.05734159,10.15292467,4.271428877,0.07412575185,0.01976200412,2.962293702,1.580829048,1.707049459,4.54423716,6.02451585,6.89825672,6.970553172,5.426430513,10.83622001,6.300467,0.021488043,10.45066625,10.62556076,9.904617334,10.06273035,10.53519051,10.69330353,9.844770288,10.03074586
2,347692,0.02,2.063111514,0.9035859457,0.8465265478,2.092017232,10.78349785,1.648684073,12.80174619,12.83620386,11.12113214,1.05734159,10.15292467,4.271428877,0.07412575185,0.01976200412,2.962293702,1.580829048,1.707049459,4.54423716,6.02451585,6.89825672,6.970553172,5.267675027,10.78017522,6.300467,0.021488043,10.50324609,10.67100483,9.848574226,10.02897006,10.47914741,10.65954324,9.844770288,10.03074586
0,364864,0.06,9.25336375,0.7393088472,0.7627527331,2.156583744,10.99933063,1.387708717,12.6293682,12.66509475,11.07292351,0.8206615306,10.3531676,4.42754554,0.2479925752,-1.531435806,3.120770281,1.847988254,2.142052154,3.843962466,6.953274703,7.376226524,7.541499625,5.671454746,11.18540641,3.8949444,0.035950713,10.75420748,10.8800842,10.23821338,10.33649671,10.88437641,10.98265975,10.07257858,10.21653691
1,364864,0.06,9.494553618,0.7092462584,0.6183858771,2.193600576,10.99933063,1.387708717,12.6293682,12.66509475,11.07292351,0.8206615306,10.3531676,4.42754554,0.2479925752,-1.531435806,3.120770281,1.847988254,2.142052154,3.843962466,6.953274703,7.376226524,7.541499625,5.740188952,11.19951975,3.8949444,0.035950713,10.74037384,10.86943744,10.25232672,10.34951164,10.89848976,10.99567468,10.07257858,10.21653691
